article_id,section,date,origin,topics_mentioned
3082873316,City,2024-07-20,Ottawa Citizen,Labour dispute / Alcohol retail (LCBO) [new]
3114142983,news/canada,2024-10-08,Hamilton Spectator,Science Centre / public institutions [new]; post_secondary (biographical: U of T professor)
2967007606,opinion/contributors,2024-03-19,Hamilton Spectator,"Social assistance / poverty (Ontario Works) [new]; housing; health_care; municipal powers (AMO, Board of Health mentions)"
3013971640,News,2024-03-29,Toronto Star,municipal powers; crime; immigration (brief: asylum claimant shelter funding); public transit (brief: Road 174/highway upload)
3111375600,News,2024-10-01,Globe and Mail,education
3052716586,politics/provincial,2024-05-09,Hamilton Spectator,"housing; crime (brief: RCMP criminal investigation, procedural); municipal powers (brief)"
3159749017,News,2025-01-25,Toronto Sun,"tariffs_trade; housing (Greenbelt, via Crombie quote); municipal powers (brief: candidate bios); public transit (brief: 'transit press conference' location)"
3059793506,Opinion,2024-05-24,Ottawa Citizen,health_care
3163297700,Canada,2025-02-04,National Post,tariffs_trade; Campaign dynamics / opposition strategy [new]
3061561933,City,2024-05-29,Ottawa Citizen,crime; municipal powers
