article_id,section,date,origin,title,topic,potential_merge,actor,actor_party_bucket,sentiment_score,ascribing,public_reaction,other_actors,other_observations,example_quote,quote_is_direct,topic_certainty,actor_certainty,sentiment_certainty,ascribing_certainty,public_certainty,crosscheck_notes
3082873316,City,2024-07-20,Ottawa Citizen,New squabble casts doubt on tentative deal at LCBO,Labour dispute / Alcohol retail (LCBO),none obvious (taxes touches alcohol pricing but weakly),OPSEU (union),n/a (not a provincial party),-0.4,LCBO (employer statement),No mention,,No topic in the current 10-item list covers labour disputes; kept as a standalone new topic.,"LCBO statement cited the union's ""significant new monetary demands.""",True,85,92,60,92,,"Spot-checked: ASCRIBING agree (Opus: 92%, unambiguous employer statement)."
3082873316,City,2024-07-20,Ottawa Citizen,New squabble casts doubt on tentative deal at LCBO,Labour dispute / Alcohol retail (LCBO),none obvious (taxes touches alcohol pricing but weakly),LCBO (employer),n/a (not a provincial party),-0.4,OPSEU (union statement),No mention,,,"Union said the strike would continue because ""the employer had refused to sign a return-to-work protocol.""",False,85,95,60,92,,"Spot-checked: ASCRIBING agree (Opus: 92%, unambiguous union statement)."
3114142983,news/canada,2024-10-08,Hamilton Spectator,Toronto's new Nobel laureate Geoffrey Hinton slams Doug Ford,Science Centre / public institutions,education (also consider: infrastructure/public assets),Doug Ford,PC,-0.8,"Geoffrey Hinton (third-party expert, Nobel laureate)",No mention,"John Hopfield (co-recipient, unrelated to Ford)",Article also mentions Hinton's own University of Toronto / professor affiliation — logged in the article-topic summary as a post_secondary mention even though it has no sentiment row of its own.,"""Don't elect someone who's going to destroy the Science Centre.""",True,78,95,90,92,,"Spot-checked: TOPIC agree with keeping it a new topic (Opus: 74%), but suggested 'infrastructure/public assets' is an equally valid potential_merge candidate alongside education — added both."
2967007606,opinion/contributors,2024-03-19,Hamilton Spectator,Ontario's social assistance rates need to rise,Social assistance / poverty (Ontario Works),housing; taxes (fiscal/budget angle),Doug Ford / Ontario government,PC,-0.9,Author (opinion contributor),No mention,"Michael Parsa (minister), Colin Best (AMO president), Tamra Smith (named OW recipient)",Originally consolidated with the housing/health_care mentions below into one row (same actor+ascriber); SPLIT after cross-check on a similar case (see Crombie row) showed blending materially different per-topic sentiment into one score destroys resolution.,"""What drives me crazy is people on Ontario Works ... healthy people sitting at home collecting your hard-earned dollars ...""",True,90,90,90,88,,Not directly sampled this round; same actor/ascriber dyad as items sampled elsewhere in this article.
2967007606,opinion/contributors,2024-03-19,Hamilton Spectator,Ontario's social assistance rates need to rise,Housing,n/a (direct match),Ontario government policy,PC,-0.6,Author,No mention,,Split out from the main social-assistance row — see note above.,"""...lose up to $400 per month and become further entrenched in homelessness.""",False,85,88,75,82,,Not sampled this round.
2967007606,opinion/contributors,2024-03-19,Hamilton Spectator,Ontario's social assistance rates need to rise,Health care,n/a (direct match),Ontario government policy,PC,-0.5,Author,No mention,,Split out from the main social-assistance row — see note above.,"""...end up in hospital emergency departments, where they must be costing the health system more than they receive in social assistance.""",False,78,85,70,88,,Not sampled this round.
3013971640,News,2024-03-29,Toronto Star,Ford government makes a deal with city of Ottawa,Municipal powers,n/a (direct match — new topic list),Doug Ford / Ontario government,PC,0.2,Author (cynical framing of motive),No mention,,Score nudged +0.3 -> +0.2 after cross-check discussion (Opus read the 'capital punishment at the hands of voters' opener as closer to +0.1/+0.2 than +0.3). Split from the crime-topic row below because sentiment sign diverges (+0.2 vs -0.1) — same logic used to split the Crombie row.,"""Having suffered capital punishment at the hands of voters, Premier Doug Ford has signed a 'new deal' with the city of Ottawa.""",False,88,90,58,75,,"Spot-checked: ASCRIBING agree (Opus: 75%); Opus additionally flagged the sentiment score as 'a touch generous,' suggesting +0.1 to +0.2 — adopted +0.2."
3013971640,News,2024-03-29,Toronto Star,Ford government makes a deal with city of Ottawa,Municipal powers,n/a (direct match — new topic list),Doug Ford / Ontario government,PC,0.7,"Mark Sutcliffe (Ottawa mayor, quoted directly)",No mention,,Kept separate from the author's framing because sentiment differs substantially.,"""This is a big win for Ottawa... these investments will relieve significant budget pressures.""",True,90,88,85,90,,Not sampled this round.
3013971640,News,2024-03-29,Toronto Star,Ford government makes a deal with city of Ottawa,Crime,n/a (direct match),Ontario government / Ottawa Police,PC,-0.1,Author,No mention,,"Mixed/near-neutral: funding is positive, but explicitly tied to a stated rise in local crime. Also note: article briefly mentions funding for 'shelters and asylum claimants' (an immigration-adjacent keyword hit) and 'Road 174' upload (public_transit-adjacent) — both logged in the article-topic summary but too thin to warrant their own sentiment rows.","""a new Ottawa police neighbourhood operations centre in the ByWard Market, which has seen an increase in crime since the COVID-19 pandemic.""",False,82,80,48,70,,Not sampled this round.
3111375600,News,2024-10-01,Globe and Mail,Why are TDSB students being sent to rallies in the first place?,Education,"n/a (direct match — topic list now explicitly says 'schools, school boards, etc.')",Toronto District School Board (TDSB),"n/a (school board, not a provincial party)",-0.5,Author (skeptical headline framing),No mention,"Grassy Narrows First Nation, Queen's Park (target of the demonstration's demand)",Very short article (3 sentences); negative signal comes almost entirely from the headline.,"Headline: ""Why are TDSB students being sent to rallies in the first place?""",False,92,90,55,70,,Not sampled this round.
